"z.m","zm","zd"
0.1,1067.5,1174.25
0.1,1053,1124.75
0.1,1039,1083.5
0.1,1026.5,1048
0.15,918,1017.5
0.15,907,978
0.15,897,944.75
0.15,888,917
0.15,879,893
0.2,753,800
0.2,747,780.5
0.2,741,763.5
0.2,736.5,749.75
0.2,731.5,738
0.25,587,581.5
0.25,585.5,581.5
0.25,584.5,581.25
0.25,584,581.25
0.25,582.5,582
0.3,421.5,362.75
0.3,425.5,382.5
0.3,428.5,399.25
0.3,431.5,413.5
0.3,434,425
0.35,254.5,143.5
0.35,264.5,183.5
0.35,272,217
0.35,279.5,245
0.35,286,269
0.4,115.5,35
0.4,127,77
0.4,137.5,114
0.1,1038,1172
0.1,1024.5,1122.75
0.1,1013,1081.5
0.1,1001.5,1046
0.15,897.5,1015
0.15,887,975.25
0.15,878.5,942.75
0.15,870,915.5
0.15,862.5,892
0.2,742.5,798
0.2,737,778.25
0.2,732,762
0.2,727.5,748
0.2,723,736
0.25,587.5,579.5
0.25,586,579.75
0.25,585.5,580
0.25,584,580.25
0.25,583.5,580
0.3,433,362
0.3,436.5,381.5
0.3,439,398
0.3,441.5,412.5
0.3,443.5,424
0.35,277.5,143
0.35,285.5,182.5
0.35,292.5,216
0.35,298.5,244.5
0.35,304,268
0.4,145.5,34.5
0.4,155.5,76.5
0.4,164.5,113
0.1,1012,1169.5
0.1,1000,1120.5
0.1,989,1079.5
0.1,979,1044
0.15,879,1012.5
0.15,870.5,973.5
0.15,862.5,940.5
0.15,855,913.5
0.15,847.5,890
0.2,733.5,796.5
0.2,729,776.5
0.2,724,760
0.2,720,746.75
0.2,716.5,735
0.25,588,578.5
0.25,587,578.5
0.25,586,578.5
0.25,585,579
0.25,584.5,579
0.3,442.5,361
0.3,446,380.5
0.3,448.5,397
0.3,450.5,411.5
0.3,452.5,424
0.35,296.5,143
0.35,304,182
0.35,310.5,215.5
0.35,315.5,244
0.35,321,267
0.4,171.5,34
0.4,180.5,76
0.4,189,112
0.1,987.5,1166.75
0.1,977,1118
0.1,967,1077
0.1,958,1042
0.15,861.5,1010.5
0.15,854,971
0.15,846.5,938.5
0.15,840.5,911.5
0.15,834,888
0.2,725,794.5
0.2,720.5,774.5
0.2,717,758.5
0.2,713,745
0.2,709.5,734
0.25,588,576.5
0.25,587,576.5
0.25,586.5,577.5
0.25,585.5,577.75
0.25,584.5,578
0.3,451.5,360
0.3,454,379.5
0.3,456,396.5
0.3,458,411
0.3,460,423
0.35,314,142.75
0.35,320.5,181.75
0.35,325.5,215
0.35,330.5,243.5
0.35,335,267
0.4,194.5,33.5
0.4,203,76
0.4,210,112
0.1,967,1165.25
0.1,957,1116
0.1,948,1075
0.1,940,1040
0.15,848,1007.5
0.15,841,968.5
0.15,834,936
0.15,828,909.25
0.15,822,886
0.2,718,792
0.2,714,772.5
0.2,710,756.5
0.2,707,743.5
0.2,704,732
0.25,588,575.5
0.25,587,574.75
0.25,586,575.75
0.25,585,576.5
0.25,585,577
0.3,459,358.5
0.3,461,378.25
0.3,463,395.75
0.3,464,410
0.3,466,422
0.35,329,140.5
0.35,335,179.75
0.35,340,214
0.35,343,243
0.35,348,266
0.4,216,32.5
0.4,223,76
0.4,230,111
